voting_preference,troll_tweets_pro_democratic,troll_tweets_anti_democratic,troll_tweets_pro_republican,troll_tweets_anti_republican,Total Tweets,vote2012,vote2016,Vote,main_information_sorce
R,14,64,85,18,181,R,O,1,Online
R,21,72,90,23,206,R,R,0,Online
R,25,62,89,22,198,R,R,0,Social Media
R,8,73,96,29,206,R,R,0,Television
R,22,74,82,28,206,R,D,1,Online
R,23,60,85,18,186,R,R,0,Social Media
R,17,75,81,14,187,R,R,0,Social Media
R,17,69,93,22,201,R,R,0,Social Media
R,17,67,88,13,185,R,R,0,Social Media
R,16,72,81,23,192,R,R,0,Print
R,18,76,86,18,198,R,R,0,Online
R,15,78,85,26,204,R,D,1,Social Media
R,16,64,91,25,196,O,R,1,Print
R,20,68,93,28,209,R,R,0,Online
R,25,71,84,17,197,R,R,0,None
R,19,70,95,30,214,R,R,0,Online
R,17,68,92,16,193,R,R,0,Social Media
R,15,58,91,14,178,R,R,0,Social Media
R,16,69,91,21,197,D,R,1,Social Media
R,32,64,92,22,210,D,R,1,None
R,21,70,95,26,212,D,R,1,Print
R,18,66,87,23,194,R,D,1,Social Media
R,18,69,90,16,193,R,R,0,Online
R,22,66,104,25,217,R,D,1,Print
R,17,68,85,16,186,R,R,0,Online
R,13,68,91,26,198,R,R,0,Social Media
R,23,77,83,22,205,R,O,1,Social Media
R,15,74,91,22,202,D,R,1,Social Media
R,20,69,95,16,200,R,R,0,Online
R,15,64,78,17,174,R,O,1,Online
R,26,75,87,25,213,O,R,1,Social Media
R,18,63,101,22,204,R,R,0,None
R,16,64,86,17,183,R,R,0,Social Media
R,17,66,83,21,187,R,R,0,Online
R,12,65,92,27,196,R,O,1,Print
R,14,65,86,18,183,O,R,1,Online
R,9,76,97,11,193,R,R,0,Online
R,13,69,95,23,200,R,R,0,None
R,19,66,94,20,199,R,R,0,Online
R,18,73,83,16,190,R,O,1,Online
R,27,71,92,17,207,R,O,1,Print
R,15,64,92,21,192,R,R,0,Social Media
R,16,67,80,20,183,R,R,0,Social Media
R,19,73,93,20,205,R,R,0,Television
R,15,80,92,19,206,R,R,0,Social Media
R,15,78,85,23,201,R,O,1,None
R,14,74,89,15,192,R,R,0,Television
R,14,70,100,16,200,R,O,1,Social Media
R,17,61,94,29,201,R,R,0,Social Media
R,18,66,84,25,193,R,R,0,Social Media
R,11,69,90,18,188,R,R,0,Social Media
R,17,72,99,14,202,R,R,0,Social Media
R,14,70,90,6,180,D,R,1,Social Media
R,15,70,87,25,197,R,R,0,Social Media
R,19,79,96,21,215,R,R,0,Social Media
R,23,72,88,22,205,R,R,0,Online
R,28,69,89,21,207,R,O,1,Online
R,16,68,94,20,198,O,O,0,Online
R,28,70,99,25,222,R,R,0,Online
R,14,66,86,22,188,D,R,1,Social Media
R,23,77,89,24,213,R,R,0,Social Media
R,33,69,90,20,212,R,O,1,Print
R,20,67,94,24,205,R,R,0,Social Media
R,17,66,98,22,203,O,R,1,Online
R,20,75,98,21,214,O,O,0,Social Media
R,29,64,89,22,204,O,O,0,Online
R,14,68,95,24,201,R,R,0,Social Media
R,27,72,86,14,199,R,R,0,Online
R,27,69,87,10,193,O,R,1,Online
R,22,71,84,23,200,R,R,0,Social Media
R,20,63,84,18,185,R,R,0,None
R,18,68,93,11,190,R,R,0,Online
R,18,61,94,23,196,D,R,1,None
R,23,66,91,17,197,D,R,1,None
R,30,76,86,24,216,R,R,0,Social Media
R,19,71,91,22,203,R,R,0,Social Media
R,13,70,84,24,191,D,R,1,Online
R,16,65,81,11,173,R,R,0,Online
R,21,67,87,14,189,R,R,0,Print
R,18,65,88,25,196,R,R,0,None
R,19,70,85,19,193,R,R,0,Social Media
R,19,74,80,30,203,R,R,0,Print
R,13,71,88,19,191,R,R,0,Online
R,19,67,93,10,189,R,R,0,None
R,24,73,94,24,215,R,R,0,None
R,23,72,98,16,209,R,R,0,None
R,23,74,90,29,216,R,R,0,Social Media
R,18,68,101,29,216,R,R,0,Social Media
R,19,64,92,27,202,R,O,1,Print
R,14,70,89,21,194,R,R,0,Social Media
R,20,72,80,17,189,O,R,1,Social Media
R,21,78,102,20,221,R,D,1,None
R,29,70,97,17,213,O,R,1,Social Media
R,25,72,93,16,206,R,R,0,Social Media
R,18,70,96,13,197,R,R,0,Social Media
R,22,81,95,21,219,R,R,0,Online
R,14,77,94,25,210,R,R,0,Social Media
R,24,69,95,21,209,R,O,1,Social Media
R,25,69,95,17,206,R,D,1,Social Media
R,31,70,87,22,210,R,R,0,None
R,22,71,89,24,206,R,R,0,None
R,18,67,91,21,197,R,R,0,Social Media
R,20,70,86,24,200,R,R,0,Social Media
R,17,67,101,12,197,R,D,1,Print
R,16,65,83,20,184,R,R,0,Online
R,21,74,91,17,203,D,R,1,Social Media
R,16,73,86,23,198,R,R,0,Online
R,21,67,90,27,205,D,D,0,Television
R,22,76,91,23,212,O,R,1,Television
R,20,69,90,23,202,R,R,0,Social Media
R,19,69,75,17,180,R,R,0,Television
R,17,65,78,24,184,R,R,0,None
R,14,70,94,19,197,R,R,0,Social Media
R,24,69,86,17,196,D,R,1,None
R,20,70,90,20,200,R,R,0,Print
R,24,72,94,18,208,R,R,0,Online
R,14,75,89,31,209,R,O,1,Social Media
R,21,72,86,22,201,R,R,0,Social Media
R,23,75,89,16,203,R,O,1,Social Media
R,20,75,98,18,211,R,R,0,None
R,19,55,98,27,199,R,R,0,Social Media
R,16,68,100,15,199,R,R,0,Social Media
R,30,73,98,14,215,R,O,1,Social Media
R,24,64,82,22,192,R,R,0,Online
R,29,65,81,25,200,R,R,0,Print
R,20,71,90,10,191,R,R,0,Social Media
R,17,68,89,21,195,R,R,0,Social Media
R,12,61,83,31,187,R,R,0,Online
